epoch,train_loss,val_loss,train_ppl,val_ppl
1,43.3149,4.1581,485165195.4097903,63.9499022828854
2,3.2062,2.7484,24.68510437553892,15.617623685067851
3,2.5817,2.3693,13.21959237520527,10.689906729761857
4,2.1591,1.9248,8.663337145328283,6.853777773259832
5,1.6417,1.3232,5.163940753848444,3.7554195124459864
6,1.0088,0.733,2.7423082698411307,2.08131519670475
7,0.4602,0.3353,1.5843908314750725,1.3983598302516422
8,0.2091,0.1649,1.2325682491925383,1.1792751852962884
9,0.121,0.121,1.128624912367344,1.128624912367344
10,0.095,0.0823,1.0996588551261028,1.0857814954228944
11,0.0688,0.0803,1.0712219433338122,1.0836121025480543
12,0.0512,0.0544,1.0525333789097215,1.05590688044597
13,0.0429,0.0403,1.043833506280643,1.0411230642658147
14,0.0462,0.0339,1.047283846782013,1.0344811534401956
15,0.0308,0.0214,1.0312792274140803,1.0216306221668419
16,0.0277,0.0201,1.028087211989277,1.0203033652619353
17,0.0188,0.0176,1.0189778326699586,1.0177557926414167
18,0.0189,0.0233,1.0190797355482846,1.023573565560681
19,0.0123,0.0105,1.0123759561005452,1.0105553184450264
20,0.0096,0.0121,1.009646227810575,1.0121735011554944
21,0.0091,0.0052,1.0091415308814164,1.0052135434651635
22,0.005,0.0044,1.005012520859401,1.004409694212964
23,0.0052,0.0034,1.0052135434651635,1.0034057865562385
24,0.0029,0.0037,1.002904209067782,1.0037068534499816
25,0.0019,0.0024,1.00190180614371,1.002402882305383
26,0.0015,0.0021,1.001501125562711,1.0021022065443106
27,0.0007,0.0005,1.0007002450571767,1.0005001250208359
28,0.0005,0.0004,1.0005001250208359,1.0004000800106678
29,0.0011,0.0006,1.0011006052218943,1.0006001800360054
30,0.0004,0.0001,1.0004000800106678,1.0001000050001667
31,0.0,0.0,1.0,1.0
32,0.0,0.0,1.0,1.0
33,0.0,0.0,1.0,1.0
34,0.0,0.0,1.0,1.0
35,0.0,0.0,1.0,1.0
