Model,Accuracy mean,Accuracy SD,F1 mean,F1 SD,ROC-AUC mean,ROC-AUC SD
Logistic regression,0.8243967300305328,0.020728106465242858,0.7677664393365328,0.01951989034277237,0.8742519632057251,0.015329270195366345
Random Forest,0.8174234216487738,0.009790308877290085,0.755816184897498,0.019506777022735792,0.8695978726660545,0.01625625057903508
Gradient Boosting,0.8342854328769823,0.015606410464060501,0.7687165976861016,0.027988657381198538,0.8939990553391807,0.0208099120189693
Small neural network,0.7162415049738995,0.0701109245658813,0.57668203868361,0.10193732510650298,0.7677656264842785,0.0962509300865994
